"","texto","muyNeg","Neg","Pos","muyPos","Valor","Sentimiento"
"19","Mentar el feminismo para erradicar el machismo ","0","0","0","0",0,"Neutro"
"20","  Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido interesado ","0","0","1","1",1.25,"Muy Positivo"
"21","  Desde que me han informado un poco sobre el feminismo veo machismo por todas partes","0","0","0","0",0,"Neutro"
"22","El feminismo nos muestr ","0","0","0","0",0,"Neutro"
"23","  Que más busca el Feminismo  Tienen todo lo que quieren  poder social  político  ONG s a nivel mundial  leyes a sus fav ","0","0","0","0",0,"Neutro"
"24","te estas tratando de cubrir para cuando comiences a opinar sobre política  feminismo o alguna cosa así ","0","0","0","0",0,"Neutro"
"25","  Las feministas actuales acabaron con la lucha real de las mujeres por ocupar el lugar que merecemos dentro de la sociedad y la ","0","0","0","0",0,"Neutro"
"26","  Las chicas del cable  serie española basada en el año   Abarca temas como  la homosexualidad  bisexualidad  transex ","0","0","1","0",0.5,"Positivo"
"27","  KURT COBAIN NO ESCRIBIO MILES DE CANCIONES CON UN MENSAJE EN CONTRA DE LA VIOLACIÓN Y OTRAS APOYANDO EL FEMINISMO  NO SO ","1","1","0","0",-1.25,"Muy Negativo"
"28","  Todas las mujeres deberíamos ser feministas y todos los hombres deberían ser aliados del feminismo  Si eso ocurriera no exi ","0","0","0","0",0,"Neutro"
"29","Su punto es la doble moral que exhiben también muchos que profesan el feminismo  Doble moral en agresi ","0","0","0","0",0,"Neutro"
"30","  tu amigo el que se la hace chistoso relacionar al feminismo con veganismo y que finge no saber las letras de la comunid ","0","0","1","0",0.5,"Positivo"
"31","  Las feministas denuncian a los príncipes de Disney por  promover la violencia sexual  Feminis ","0","1","1","0",0,"Neutro"
"32","   Nuestro sistema de protección social se diseñó pensando en un mundo que ya no existe   pero es que sí existe  mientras h ","0","0","1","0",0.5,"Positivo"
"33","   El Secreto de Las Mujeres  Quieren Compañeros Sexuales Decentes      Sí  como lees  Aunque toda tu vida hayas aprendido a ","0","0","2","0",0.833333333333333,"Positivo"
"34","  su feminismo no es el mismo q aquel q fue d gran ayuda en algún momento   su feminismo ahora solo piensa en llegar a q l ","0","1","2","0",0.357142857142857,"Positivo"
"35","Esto no es feminismo  es una payasada a la altura del machismo que tanto odias ","0","0","0","0",0,"Neutro"
"36","Lo vuestro con el feminismo ya es de gilipollas   en los coches hay atrapadas PERSONAS  PER S ","0","1","0","0",-0.5,"Negativo"
"37","La cosa está en difundir el verdadero significado del término  porque muy pocas persona ","0","0","0","0",0,"Neutro"
"38","en definitiva siempre nos distraen de lo que realmente queremos hacer  porque todo está siendo juzgado  ","0","0","0","0",0,"Neutro"
"39","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"40","  Se enojan cuando les dicen que el feminismo es burgués pero una de sus discusiones es ver si a las mujeres las incluyen en los ","0","0","0","0",0,"Neutro"
"41","Hola  Solo te quiero decir que gracias a vos abrí los ojos con respecto al feminismo  tengo  años y desde los onc ","0","1","2","0",0.357142857142857,"Positivo"
"42","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"43","  Feministas que salen en bolas súper producidas  Eso no es feminismo porque es funcional al patriarcado   Feministas sin dep ","0","0","0","0",0,"Neutro"
"44","  El feminismo sirve para comprender que ninguna es la única  ninguna la mejor y ninguna la primera  Somos todas  somos muchas ","0","4","1","0",-0.833333333333333,"Negativo"
"45","Me parece vergonzoso que gente que simplemete les gusta hacer que los demás se sientan inferiores y tratarles como ","0","1","1","0",0,"Neutro"
"46","  Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido interesado ","0","0","1","1",1.25,"Muy Positivo"
"47","               ustedes solo quieren hablar de feminismo a conveniencia suya   ","0","1","0","0",-0.5,"Negativo"
"48","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"49","  Ahi nadie se queja  no les jode que vaya a un psiquiatrico  La mato y le robo  y no les provoca nada  Son unos hipocritas ","0","1","0","0",-0.5,"Negativo"
"50","  Feministas que salen en bolas súper producidas  Eso no es feminismo porque es funcional al patriarcado   Feministas sin dep ","0","0","0","0",0,"Neutro"
"51","  Desde  para la OMS la viol de género proviene de hombres y mujeres  Q haya más violencia física entre parejas de mu ","0","1","0","0",-0.5,"Negativo"
"52","Por favor vamos a dejar de manchar el feminismo con todo es machista  el anuncio de mediamark era humor negro simpl ","0","1","1","0",0,"Neutro"
"53","Soñé que tenía  hijas y a todas les hablaba sobre feminismo y empoderamiento  las mayores eran casi Simone de Beau ","0","0","1","0",0.5,"Positivo"
"54","   Nuestro sistema de protección social se diseñó pensando en un mundo que ya no existe   pero es que sí existe  mientras h ","0","0","1","0",0.5,"Positivo"
"55","  Con matices  charla es etnocentrista y representa claramente un feminismo blanco  heterosexual  privilegiado  liberal  ","0","0","1","0",0.5,"Positivo"
"56","La cosa está en difundir el verdadero significado del término  porque muy pocas ","0","0","0","0",0,"Neutro"
"57","  El conocimiento en general la filosofía en particular no se dirigen a un sexo determinado sino a la persona y libertad ","0","0","2","0",0.833333333333333,"Positivo"
"58","La discusión por el machismo y el feminismo es anterior al Kirchnerismo jajajaja  Dame las dr ","0","0","0","0",0,"Neutro"
"59","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"60","  Ayn Rand fala do feminismo","0","0","0","0",0,"Neutro"
"61","Que también luchamos contra los estereotipos  La mayoría de los cuerpos no son hegemonicos y los conceptos de belle ","0","1","0","0",-0.5,"Negativo"
"62","Desde que me han informado un poco sobre el feminismo veo machismo por todas partes","0","0","0","0",0,"Neutro"
"63","   Nuestro sistema de protección social se diseñó pensando en un mundo que ya no existe   pero es que sí existe  mientras h ","0","0","1","0",0.5,"Positivo"
"64","El conocimiento en general la filosofía en particular no se dirigen a un sexo determinado sino a la persona y liber ","0","0","1","0",0.5,"Positivo"
"65","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"66","mi papá me dice que el feminismo de mi mamá es una locura y jaj ","0","1","0","0",-0.5,"Negativo"
"67","   El  feminismo pro sexo  existe hace décadas como contraofensiva al feminismo radical ","0","0","1","0",0.5,"Positivo"
"68"," mujer dice algo sobre feminismo igualdad de derechos  tuiter  rompe pelotas deja de imponer tu pensamiento te cree ","0","1","0","1",0.416666666666667,"Positivo"
"69","Con matices  charla es etnocentrista y representa claramente un feminismo blanco  heterosexual  privilegiado  liber ","0","0","1","0",0.5,"Positivo"
"70","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"71","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"72","  KURT COBAIN NO ESCRIBIO MILES DE CANCIONES CON UN MENSAJE EN CONTRA DE LA VIOLACIÓN Y OTRAS APOYANDO EL FEMINISMO  NO SO ","1","1","0","0",-1.25,"Muy Negativo"
"73","   El Secreto de Las Mujeres  Quieren Compañeros Sexuales Decentes      Sí  como lees  Aunque toda tu vida hayas aprendido a ","0","0","2","0",0.833333333333333,"Positivo"
"74","Feministas que salen en bolas súper producidas  Eso no es feminismo porque es funcional al patriarcado   Feministas ","0","0","0","0",0,"Neutro"
"75","Mi momento preferido en la historia del feminismo es en el que se volvio algo tan lamentable que lo hiciste ","0","1","0","0",-0.5,"Negativo"
"76","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"77","  Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido interesado ","0","0","1","1",1.25,"Muy Positivo"
"78"," Feminismo  Turquía   Canibalismo Erdo an   protesta del grupo feminista FEMEN en París Los activistas escribieron  ","0","1","0","0",-0.5,"Negativo"
"79","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"80","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"81","  Se enojan cuando les dicen que el feminismo es burgués pero una de sus discusiones es ver si a las mujeres las incluyen en los ","0","0","0","0",0,"Neutro"
"82","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"83","   Decir que  men are trash  no es feminismo porque eso es menospreciar el hombre  y el feminismo busca la igualdad  Eso es ","0","1","0","0",-0.5,"Negativo"
"84","El día que dejemos de hablar de Machismo o Feminismo y empecemos a hablar de HUMANISMO habremos conseguido algo ","0","0","0","0",0,"Neutro"
"85","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"86","PanAm Podcast  el asesinato que le ha quitado la máscara al feminismo en Argentina","1","1","0","0",-1.25,"Muy Negativo"
"87","  Que más busca el Feminismo  Tienen todo lo que quieren  poder social  político  ONG s a nivel mundial  leyes a sus fav ","0","0","0","0",0,"Neutro"
"88","Feminismo selectivo   Porque yo no puedo reivindicar que la peña se distrae con las cosas mas tonta porque tengo MI ","0","2","1","0",-0.357142857142857,"Negativo"
"89","  Sobre la actual situación de la mujer en el mercado del arte  la relación del artista con el activismo político y la censura   ","0","0","1","0",0.5,"Positivo"
"90","  Recordatorio  la lucha por la paridad es de décadas y es del movimiento de mujeres  No se inauguró con Correa  Que  ","0","0","0","0",0,"Neutro"
"91","               ustedes solo quieren hablar de feminismo a conveniencia suya   ","0","1","0","0",-0.5,"Negativo"
"92","  Tener que estar explicando a mucha parte de tu entorno cosas sobre el feminismo  que te lo debatan con argumentos incohe ","0","0","0","0",0,"Neutro"
"93","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"94","aboga por la igualdad de género","0","0","0","0",0,"Neutro"
"95","   Os perdistéis la clase más reivindicativa de la edición     o la importancia del femin ","0","0","2","0",0.833333333333333,"Positivo"
"96","  Sobre la actual situación de la mujer en el mercado del arte  la relación del artista con el activismo político y la censura   ","0","0","1","0",0.5,"Positivo"
"97","  Madres y abuelas  heroínas silenciosas de los cuidados  ","0","0","0","0",0,"Neutro"
"98","  Las feministas actuales acabaron con la lucha real de las mujeres por ocupar el lugar que merecemos dentro de la sociedad y la ","0","0","0","0",0,"Neutro"
"99","  Libro necesario en nuestra vida    Siempre intentan ocultar a la sociedad nuestros logros y este año  es el de la mujer  ","0","1","0","0",-0.5,"Negativo"
"100","Está bien  las feministas de antes hacían disturbios también  Al menos ellas no se victimizaban  a pesar de ser víc ","0","1","1","0",0,"Neutro"
"101"," Os perdistéis la clase más reivindicativa de la edición     o la importancia del f ","0","0","2","0",0.833333333333333,"Positivo"
"102","  Cuántos aliados feministas que sólo apoyan las reivindicaciones pero no practican el feminismo conoces  A cuántos de eso ","0","0","0","0",0,"Neutro"
"103","Sobre la actual situación de la mujer en el mercado del arte  la relación del artista con el activismo político y l ","0","0","1","0",0.5,"Positivo"
"104","Todo bien con el feminismo y lo que defiendan pero aveces ya critican hasta un pedo y cansan loco","0","1","1","0",0,"Neutro"
"105","  Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido interesado ","0","0","1","1",1.25,"Muy Positivo"
"106","Porque en tw ahora todo es feminismo y wokeness  si era  te contestaba fotos de gatitos","0","0","0","0",0,"Neutro"
"107","  Nahir Galarza es la nueva ídola de las  NiUnaMenos porque mató a un machito  El feminismo argentino está sumamente podrido ","0","0","0","0",0,"Neutro"
"108","Da igual que el tema sea GH  OT  el feminismo o la cabalgata de Reyes  Hay gente tan amargada y limitada que no sól ","0","0","0","0",0,"Neutro"
"109","   Decir que  men are trash  no es feminismo porque eso es menospreciar el hombre  y el feminismo busca la igualdad  Eso es ","0","1","0","0",-0.5,"Negativo"
"110","El feminismo no es cuestión de hacer a las mujeres más fuertes  pues ellas ya lo son  Se trata de cambiar la forma ","0","0","1","0",0.5,"Positivo"
"111","  Libro necesario en nuestra vida    Siempre intentan ocultar a la sociedad nuestros logros y este año  es el de la mujer  ","0","1","0","0",-0.5,"Negativo"
"112","Ana María de Soto  almirante española   ilustración  historia  feminismo  atlas  illustration ","0","0","0","0",0,"Neutro"
"113","Ayer ay a mi nos tocaron el tema del feminismo y nos volvimos locas   Por qué la gente prefiere creer l ","0","0","0","0",0,"Neutro"
"114","  Respuesta masiva y contundente del feminismo madrileño ante la actitud de la justicia y los medios de comunicación    ","0","0","0","0",0,"Neutro"
"115","No te confundas  esta no es feminista  esta es una extremista que hace poco bien al feminismo ","0","0","1","0",0.5,"Positivo"
"116","  Ya me jodería ser un machirulo  Yo soy distinto  princesa  Soy un aliado del feminismo   me das tu número  guapa   Tienes nov ","0","0","0","0",0,"Neutro"
"117","  Desde  para la OMS la viol de género proviene de hombres y mujeres  Q haya más violencia física entre parejas de mu ","0","1","0","0",-0.5,"Negativo"
"118","     El Feminismo no odia a los hombres   ","0","1","0","0",-0.5,"Negativo"
"119","  Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido interesado ","0","0","1","1",1.25,"Muy Positivo"
"120","igual usan ese caso para desvalorizar al feminismo  cosa que no tiene nada que ver con que una chica haya ","0","0","0","0",0,"Neutro"
"121","  Malas noticias para el feminismo patrio     No  en España no hay ninguna  lacra machista ","0","1","0","0",-0.5,"Negativo"
"122","   Decir que  men are trash  no es feminismo porque eso es menospreciar el hombre  y el feminismo busca la igualdad  Eso es ","0","1","0","0",-0.5,"Negativo"
"123","Recomiendo este hermoso libro que abrió mis horizontes hacia el feminismo en su esencia pura ","0","0","0","0",0,"Neutro"
"124","no entiendo como la piba que mato a balazos al novio que tenia  años en gualeguaychu no fue presa y fue a are psi ","0","0","1","0",0.5,"Positivo"
"125","En realidad es todo lo contrario  El feminismo ya hace tiempo que dejó de buscar la igualdad  Si salieses ","0","0","0","0",0,"Neutro"
"126","Tener que estar explicando a mucha parte de tu entorno cosas sobre el feminismo  que te lo debatan con argumentos i ","0","0","0","0",0,"Neutro"
"127","  EL FEMINISMO NO BUSCA LA IGUALDAD EL FEMINISMO NO BUSCA LA IGUALDAD EL FEMINISMO NO BUSCA LA IGUALDAD EL FEMINISMO NO BUSCA ","0","0","0","0",0,"Neutro"
"128","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"129","  El feminismo sirve para comprender que ninguna es la única  ninguna la mejor y ninguna la primera  Somos todas  somos muchas ","0","4","1","0",-0.833333333333333,"Negativo"
"130","  Estoy hasta los putos cojones de esta mierda  Cuánto tiempo más hay que estar así  En esta asquerosa sociedad machista  agua ","1","2","0","0",-1.42857142857143,"Muy Negativo"
"131","  les hablé de feminismo y empezaron a gritar  ABAJO EL PATRIARCADO  ARRIBA EL FEMINISMO ","0","1","1","0",0,"Neutro"
"132","   Nuestro sistema de protección social se diseñó pensando en un mundo que ya no existe   pero es que sí existe  mientras h ","0","0","1","0",0.5,"Positivo"
"133","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"134","  Que alguien diga que el feminismo es burgués por no priorizar las necesidades de las madres  pobres y trabajadoras  no signifi ","0","1","0","0",-0.5,"Negativo"
"135","luego me di cuenta que no debería sentirme así  que esta es la razón por la que necesitamos el feminismo  No deberí ","0","0","0","0",0,"Neutro"
"136","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"137","Y luego dicen   Feminismo no es superioridad femenina ni subordinación masculina  es todo una invención de unos po ","0","0","0","0",0,"Neutro"
"138","  Me encanta cuando los hombres van diciendo lo que es feminismo  que estamos locas  y toda esa mierda de machito cuando no t ","1","1","0","0",-1.25,"Muy Negativo"
"139","Lamento decir que soy tan terraja que yo escribía pensando en Cristina Pedroche en el quilombo que ca ","0","0","0","0",0,"Neutro"
"140"," Cuándo va a entender la gente que el feminismo no va de odio hacia los hombres  sino de lucha contra la estructura ","0","2","0","0",-0.833333333333333,"Negativo"
"141","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"142","  Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido interesado ","0","0","1","1",1.25,"Muy Positivo"
"143"," no le parece que  además de estar grande  tiene estudios como para comparar el nazismo ","0","0","2","0",0.833333333333333,"Positivo"
"144","una alegría   Feminismo y accesibilidad   ","0","0","1","0",0.5,"Positivo"
"145","  er acto  feministas salen a pedir machete al machote  abortá si te sale Laje  matá a tu novio  etc  do acto  nos def ","0","0","0","0",0,"Neutro"
"146","   FelizDomingo el gurú sectario anarcocapitalista q sostiene q las feministas quieren sustituir y acabar con los hombres ","0","0","0","0",0,"Neutro"
"147","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"148","  Ahora resulta que todo entorpece la misión de tomar los cuarteles de invierno  Llámese feminismo  llámese lucha por la ","0","0","0","0",0,"Neutro"
"149","  Estoy hasta los putos cojones de esta mierda  Cuánto tiempo más hay que estar así  En esta asquerosa sociedad machista  agua ","1","2","0","0",-1.42857142857143,"Muy Negativo"
"150","Meta del   aprender más sobre el feminismo             ","0","0","0","0",0,"Neutro"
"151","  che ustedes piensan q asadodefaso y angelolita dan buena información del feminismo pero re q son re liberales","0","0","0","0",0,"Neutro"
"152"," Y el feminismo qué tiene que ver con que esta sea una ridícula mamadora     No correlation ","0","0","0","0",0,"Neutro"
"153","  Libro necesario en nuestra vida    Siempre intentan ocultar a la sociedad nuestros logros y este año  es el de la mujer  ","0","1","0","0",-0.5,"Negativo"
"154","creo que como a muchas mujeres de izquierda al mezclarlo con en feminismo se le estalló ","0","0","1","0",0.5,"Positivo"
"155","El feminismo en españa tiene la seriedad de las chicas del cable y los serrano","0","0","0","0",0,"Neutro"
"156","Desgraciadamente  internet está hecho de burbujas  Yo estoy en una rodeada de feminismo  socialismo  diversidad cul ","0","0","0","0",0,"Neutro"
"157","               ustedes solo quieren hablar de feminismo a conveniencia suya   ","0","1","0","0",-0.5,"Negativo"
"158","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"159","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"160","  Desde  para la OMS la viol de género proviene de hombres y mujeres  Q haya más violencia física entre parejas de mu ","0","1","0","0",-0.5,"Negativo"
"161","una alegría   Feminismo y accesibilidad   ","0","0","1","0",0.5,"Positivo"
"162","  Hoy he echado un vistazo a los comentarios de mi último artículo  El peor enemigo del feminismo   y me ","0","2","0","0",-0.833333333333333,"Negativo"
"163","               Los hombres no sabemos qué es ser mujer  nuestros privilegios nos impiden verlo bien  pero eso no quita que luchemos ","0","0","1","0",0.5,"Positivo"
"164","  Todas las mujeres deberíamos ser feministas y todos los hombres deberían ser aliados del feminismo  Si eso ocurriera no exi ","0","0","0","0",0,"Neutro"
"165","  El feminismo sirve para comprender que ninguna es la única  ninguna la mejor y ninguna la primera  Somos todas  somos muchas ","0","4","1","0",-0.833333333333333,"Negativo"
"166","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"167","Pues si te dan solo pena las chicas  se ve que los chicos sí salen bien parados  Nada  feminismo el poder ","0","2","2","0",0,"Neutro"
"168","  Nahir Galarza es la nueva ídola de las  NiUnaMenos porque mató a un machito  El feminismo argentino está sumamente podrido ","0","0","0","0",0,"Neutro"
"169","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"170","Ha subido algo de Alfred  gracias  Pero esta es la segunda clase con los Javis  queremos la primera  en la ","0","0","2","0",0.833333333333333,"Positivo"
"171","  De verdad creen que x eje  las madres solteras  estan preocupadas por si a las mujeres las incluyen en los videojuegos o si al ","0","0","0","0",0,"Neutro"
"172","   El gobierno español siente no haber hecho nada   Así es su verdadera campaña contra la violencia machista   feminismo ","0","2","1","0",-0.357142857142857,"Negativo"
"173","Mientras haya feministas que tengan slogans como machete al machote  la diferencia entr ","0","0","1","0",0.5,"Positivo"
"174","Como por ejemplo  yo estoy clara que dentro del feminismo existen muchas personas que están loquitas y son bastante ","0","0","3","0",1.07142857142857,"Muy Positivo"
"175","  Cuando veo una mujer que odia el feminismo es como blda gracias a eso podés trabajar y votar entre otras cosas onda como ","0","1","3","0",0.625,"Positivo"
"176","  Ni feminismo ni machismo  alcoholismo ","0","0","0","0",0,"Neutro"
"177","  He perdido amigxs a causa del feminismo  pero he ganado hermanas   ","0","1","1","0",0,"Neutro"
"178","   El gobierno español siente no haber hecho nada   Así es su verdadera campaña contra la violencia machista   feminismo ","0","2","1","0",-0.357142857142857,"Negativo"
"179","Mientras haya feministas que tengan slogans como machete al machote  la diferencia entr ","0","0","1","0",0.5,"Positivo"
"180"," Qué opinas del feminismo    Opinar acerca del feminismo es una constante lucha  porque así sea de la forma más sen ","0","0","0","0",0,"Neutro"
"181","  Ustedes se creen que la montan cuando argumentan que nuestro feminismo es totalmente falso porque  ESO NO LO DICEN CUANDO ","0","0","0","0",0,"Neutro"
"182","No hay un solo feminismo  hay muchos y muy distintos","0","1","0","0",-0.5,"Negativo"
"183","  Un amigo me invitó a comer y cuando terminamos pedí la cuenta y por PRIMERA vez me la dieron a mí  Y yo se la pasé a él  T ","0","0","0","0",0,"Neutro"
"184","  Os invito a que os deis un paseo por el Twitter de una de las mentes más maquiavélicas  retorcidas y macabras del autodeno ","0","0","0","0",0,"Neutro"
"185","  Libro necesario en nuestra vida    Siempre intentan ocultar a la sociedad nuestros logros y este año  es el de la mujer  ","0","1","0","0",-0.5,"Negativo"
"186","Artículo excelente desobre el papel de madres y abuelas ocupándose de los cuidados frente al olvido int ","0","0","1","1",1.25,"Muy Positivo"
"187","Supuestamente el feminismo lucha por los derechos de la mujer pero en realidad ponen a todo el mundo en contra de ellas","0","1","0","1",0.416666666666667,"Positivo"
"188","El feminismo debería prestar menos atención a las pendejadas y más bien asesorar integralmente a las mujeres que so ","0","0","1","0",0.5,"Positivo"
"189","   El gobierno español siente no haber hecho nada   Así es su verdadera campaña contra la violencia machista   feminismo ","0","2","1","0",-0.357142857142857,"Negativo"
"190","  Figuras ocultas llega el  de Enero  Nos lo contó SNIC en    Las mujeres afroamericanas que ayudaron a ganar la ca ","0","0","1","1",1.25,"Muy Positivo"
"191","  Las chicas del cable  serie española basada en el año   Abarca temas como  la homosexualidad  bisexualidad  transex ","0","0","1","0",0.5,"Positivo"
"192","  Las feministas denuncian a los príncipes de Disney por  promover la violencia sexual  Feminis ","0","1","1","0",0,"Neutro"
"193","Claro que queremos que seas libre  pero con esa libertad  por las razones que sean y muchas veces  sin que tengas l ","0","1","2","0",0.357142857142857,"Positivo"
"194","Mientras haya feministas que tengan slogans como machete al machote  la dif ","0","0","1","0",0.5,"Positivo"
"195","  Todas las mujeres deberíamos ser feministas y todos los hombres deberían ser aliados del feminismo  Si eso ocurriera no exi ","0","0","0","0",0,"Neutro"
"196","  Todas las mujeres deberíamos ser feministas y todos los hombres deberían ser aliados del feminismo  Si eso ocurriera no exi ","0","0","0","0",0,"Neutro"
"197","  Una Academia japonesa Denuncia a los príncipes de  La Bella Durmiente  y  Blancanieves  como agresores sexuales   femin ","0","1","1","0",0,"Neutro"
"198","  Las feministas denuncian a los príncipes de Disney por  promover la violencia sexual  Feminis ","0","1","1","0",0,"Neutro"
"199","  Las feministas denuncian a los príncipes de Disney por  promover la violencia sexual  Feminis ","0","1","1","0",0,"Neutro"
"200","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"201","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"202","   El gobierno español siente no haber hecho nada   Así es su verdadera campaña contra la violencia machista   feminismo ","0","2","1","0",-0.357142857142857,"Negativo"
"203","  Estoy hasta los putos cojones de esta mierda  Cuánto tiempo más hay que estar así  En esta asquerosa sociedad machista  agua ","1","2","0","0",-1.42857142857143,"Muy Negativo"
"204","Directamente te he puesto un ejemplo que también pasa con más apart ","0","0","0","0",0,"Neutro"
"205","Es como decirle zorras a las zorras  sé que está mal  es violento y misógino pero zorras culias po  es más fuerte que mi feminismo   ","0","1","2","0",0.357142857142857,"Positivo"
